Date,Category,Amount,Description
2024-01-05,Food,1200.0,Grocery shopping at BigMart
2024-01-08,Transport,350.0,Monthly bus pass
2024-01-10,Entertainment,800.0,Movie night with friends
2024-01-15,Food,450.0,Restaurant dinner
2024-01-18,Shopping,2500.0,Winter jacket
2024-01-22,Health,600.0,Pharmacy - vitamins and medicine
2024-01-28,Utilities,1800.0,Electricity bill
2024-02-03,Food,1100.0,Grocery shopping
2024-02-07,Education,3000.0,Online course subscription
2024-02-12,Food,380.0,Lunch with colleague
2024-02-14,Entertainment,1200.0,Valentine's dinner
2024-02-20,Transport,200.0,Auto rickshaw fares
2024-02-25,Shopping,1500.0,Books and stationery
2024-03-01,Utilities,1750.0,Electricity and water bill
2024-03-05,Food,950.0,Grocery shopping
2024-03-10,Health,1200.0,Doctor consultation
2024-03-15,Transport,400.0,Fuel
2024-03-20,Entertainment,600.0,Streaming subscriptions
2024-03-28,Food,700.0,Weekend groceries
2024-04-02,Shopping,4500.0,New shoes and clothes
2024-04-08,Food,1050.0,Grocery shopping
2024-04-12,Education,500.0,Books
2024-04-18,Transport,350.0,Monthly bus pass
2024-04-22,Utilities,1900.0,Electricity bill
2024-04-28,Food,420.0,Cafe outing
2026-03-08,Transport,25.0,Bus ticket
